POPL_NAME,POPL_TYPE,POPL_ADDR1,POPL_CITY,POPL_ZIP,POPL_STATE,POPL_PHONE,FID,Lat,Lon
Warren Twp. Sta. 1,FIRE STATION,"54837 Quince Road
South Bend, Indiana 46619
(41.69597952300046, -86.38020498499964)",South Bend,46619,Indiana,574-232-4028,1,41.6959795230005,-86.3802049849996
Mishawaka Fire Dept. Station #4,FIRE STATION,"3000 Harrison Rd
Mishawaka, Indiana 46544
(41.65146299200046, -86.13096194099967)",Mishawaka,46544,Indiana,574-258-1704,2,41.6514629920005,-86.1309619409997
Portage Twp. Fire,FIRE STATION,"23626 Fillmore
South Bend, Indiana 46619
(41.6790101200005, -86.32436064999968)",South Bend,46619,Indiana,574-288-5956,3,41.6790101200005,-86.3243606499997
South Bend Fire Dept. Station #10,FIRE STATION,"5303 York Road
South Bend, Indiana 46614
(41.61974499100046, -86.22520402199967)",South Bend,46614,Indiana,574-291-1309,4,41.6197449910005,-86.2252040219997
North Liberty Fire,FIRE STATION,"112 S. State Street
North Liberty, Indiana 46554
(41.53441973200046, -86.42712027299967)",North Liberty,46554,Indiana,574-656-3163,5,41.5344197320005,-86.4271202729997
St. Joseph Co. Public Library North Liberty Branch,LIBRARY,"105 E Market St
North Liberty, Indiana 46554
(41.537320869000496, -86.42789091599968)",North Liberty,46554,Indiana,574-656-3644,6,41.5373208690005,-86.4278909159997
South Bend Fire Dept. Station #4,FIRE STATION,"220 N. Olive St.
South Bend, Indiana 46628
(41.678453281000486, -86.28343457299968)",South Bend,46628,Indiana,574-235-9422,7,41.6784532810005,-86.2834345729997
St. Joseph Co. Public Library Lakeville Branch,LIBRARY,"120 N Michigan St
Lakeville, Indiana 46536
(41.52547079800047, -86.27405084799966)",Lakeville,46536,Indiana,574-784-3446,8,41.5254707980005,-86.2740508479997
South Bend Fire Dept. Station #7,FIRE STATION,"1616 Portage Ave.
South Bend, Indiana 46616
(41.69653057200048, -86.27058017399969)",South Bend,46616,Indiana,574-235-9767,9,41.6965305720005,-86.2705801739997
Mishawaka EMS Station,FIRE STATION,"333 E. Mishawaka Ave
Mishawaka, Indiana 46545
(41.666220937000446, -86.17789057999966)",Mishawaka,46545,Indiana,574-258-1675,10,41.6662209370004,-86.1778905799997
South Bend Fire Dept. Station #2,FIRE STATION,"402 Martin Luther King Jr Dr
South Bend, Indiana 46601
(41.68009785300046, -86.25981731099967)",South Bend,46601,Indiana,574-235-9602,11,41.6800978530005,-86.2598173109997
Penn North Fire,FIRE STATION,"13750 McKinley
Mishawaka, Indiana 46545
(41.680510391000496, -86.13212077099968)",Mishawaka,46545,Indiana,574-259-1030,12,41.6805103910005,-86.1321207709997
South Bend Fire Dept. Station #6,FIRE STATION,"4302 W. Western Ave.
South Bend, Indiana 46619
(41.67183473200049, -86.30718176299968)",South Bend,46619,Indiana,574-235-9691,13,41.6718347320005,-86.3071817629997
St. Joseph Co. Public Library LaSalle Branch,LIBRARY,"3232 Ardmore Tr.
South Bend, Indiana 46628
(41.689051108000456, -86.29552017399965)",South Bend,46628,Indiana,574-282-4633,14,41.6890511080005,-86.2955201739996
Madison Twp. Fire,FIRE STATION,"66341 SR 331
Wyatt, Indiana 46595
(41.52580347200046, -86.16939859699966)",Wyatt,46595,Indiana,574-633-4915,15,41.5258034720005,-86.1693985969997
New Carlisle Fire,FIRE STATION,"210 Michigan
New Carlisle, Indiana 46552
(41.70646011100047, -86.51996667599968)",New Carlisle,46552,Indiana,574-654-3244,16,41.7064601110005,-86.5199666759997
South Bend Fire Dept. Station #9,FIRE STATION,"2520 Mishawaka Ave.
South Bend, Indiana 46615
(41.6657208470005, -86.21102100299964)",South Bend,46615,Indiana,574-235-9900,17,41.6657208470005,-86.2110210029996
South Bend Fire Dept. Station #5,FIRE STATION,"2221 Prairie Ave.
South Bend, Indiana 46614
(41.64993112100046, -86.28155105499968)",South Bend,46614,Indiana,574-235-9509,18,41.6499311210005,-86.2815510549997
St. Joseph Co. Public Library Centre Township Branch,LIBRARY,"1150 Kern Rd
South Bend, Indiana 46614
(41.6076504240005, -86.23378088399966)",South Bend,46614,Indiana,574-251-3700,19,41.6076504240005,-86.2337808839997
St. Joseph Co. Public Library Tutt Branch,LIBRARY,"2223 Miami St.
South Bend, Indiana 46613
(41.65117097700045, -86.23489053199967)",South Bend,46613,Indiana,574-282-4637,20,41.6511709770005,-86.2348905319997
Centre Twp. Fire,FIRE STATION,"19971 Kern Road
South Bend, Indiana 46614
(41.608337261000486, -86.25311604899969)",South Bend,46614,Indiana,574-291-1677,21,41.6083372610005,-86.2531160489997
Mishawaka Police Department,POLICE STATION,"200 N CHURCH ST
Mishawaka, Indiana 46544
(41.66218651300045, -86.17930931799964)",Mishawaka,46544,Indiana,574-258-1768,22,41.6621865130005,-86.1793093179996
St. Joseph Co. Public Library Western Branch,LIBRARY,"611 Lombardy Dr
South Bend, Indiana 46628
(41.70801127800047, -86.30769577799964)",South Bend,46628,Indiana,574-282-4639,23,41.7080112780005,-86.3076957779996
New Carlisle Ambulanc,FIRE STATION,"210 Michigan
New Carlisle, Indiana 46552
(41.70646011100047, -86.51996667599968)",New Carlisle,46552,Indiana,574-654-8801,24,41.7064601110005,-86.5199666759997
Mishawaka Public Library,LIBRARY,"209 Lincoln Way East
Mishawaka, Indiana 46544
(41.66108696000049, -86.17904246599966)",Mishawaka,46544,Indiana,574-259-5277,25,41.6610869600005,-86.1790424659997
Penn South Sta. 2,FIRE STATION,"10701 Ireland Road
Mishawaka, Indiana 46544
(41.62955260300049, -86.15267715299967)",Mishawaka,46544,Indiana,574-674-6747,26,41.6295526030005,-86.1526771529997
Mishawaka Fire Dept. Station #3,FIRE STATION,"333 E Douglas Road
Mishawaka, Indiana 46645
(41.709469466000485, -86.17766101299964)",Mishawaka,46645,Indiana,574-247-0928,27,41.7094694660005,-86.1776610129996
South Bend Fire Dept. Station #8,FIRE STATION,"2402 Twykenham Dr.
South Bend, Indiana 46614
(41.622684060000495, -86.24747834599964)",South Bend,46614,Indiana,574-235-9888,28,41.6226840600005,-86.2474783459997
South Bend Police Department,POLICE STATION,"101 W SAMPLE
South Bend, Indiana 46619
(41.66452382300048, -86.32689998899968)",South Bend,46619,Indiana,574-245-6500,29,41.6645238230005,-86.3268999889997
Warren Twp. Sta. 2,FIRE STATION,"59330 Crumstown Hwy.
South Bend, Indiana 46619
(41.636031379000485, -86.39702842199966)",South Bend,46619,Indiana,574-289-2909,30,41.6360313790005,-86.3970284219997
St. Joseph Co. Public Library Francis Branch,LIBRARY,"52655 Ironwood Dr.
South Bend, Indiana 46635
(41.72854097700048, -86.21703015499969)",South Bend,46635,Indiana,574-282-4641,31,41.7285409770005,-86.2170301549997
St. Joseph Co. Public Library River Park Branch,LIBRARY,"2022 Mishawaka Av.
South Bend, Indiana 46615
(41.6657208470005, -86.21666027299966)",South Bend,46615,Indiana,574-282-4635,32,41.6657208470005,-86.2166602729997
Mishawaka Public Library Harris Branch,LIBRARY,"51446 Elm Rd
Granger, Indiana 46530
(41.74701091100047, -86.13972007399968)",Granger,46530,Indiana,574-271-3179,33,41.7470109110005,-86.1397200739997
Lakeville Fire,FIRE STATION,"117 N. Main
Lakeville, Indiana 46536
(41.524504316000446, -86.27659857299966)",Lakeville,46536,Indiana,574-784-2698,34,41.5245043160004,-86.2765985729997
Osceola Twp. Fire,FIRE STATION,"620 Rogers
Osceola, Indiana 46561
(41.6644618250005, -86.09286693399969)",Osceola,46561,Indiana,574-674-6244,35,41.6644618250005,-86.0928669339997
Harris Twp. Sta. 2,FIRE STATION,"12481 Anderson
Granger, Indiana 46350
(41.615093335000495, -86.73039963799965)",Granger,46350,Indiana,574-273-8178,36,41.6150933350005,-86.7303996379997
Clay Twp. Sta. 1,FIRE STATION,"18776 Cleveland
South Bend, Indiana 46637
(41.72332113800047, -86.23148092899964)",South Bend,46637,Indiana,574-272-3012,37,41.7233211380005,-86.2314809289996
St. Joseph County Jail,POLICE STATION,"701 W SAMPLE
South Bend, Indiana 46625
(41.67905056300049, -86.25404046099965)",South Bend,46625,Indiana,574-235-9201,38,41.6790505630005,-86.2540404609996
German Twp. Sta. 2,FIRE STATION,"23747 Keller Road
South Bend, Indiana 46628
(41.69716158800048, -86.32726932899965)",South Bend,46628,Indiana,574-232-6652,39,41.6971615880005,-86.3272693289997
Clay Twp. Sta. 2,FIRE STATION,"18355 Auten Road
South Bend, Indiana 46637
(41.745350472000496, -86.22409018899964)",South Bend,46637,Indiana,574-272-1710,40,41.7453504720005,-86.2240901889996
St. Joseph Co. Public Library Main Branch,LIBRARY,"304 S. Main St.
South Bend, Indiana 46601
(41.673543564000454, -86.25187689899968)",South Bend,46601,Indiana,574-282-4646,41,41.6735435640005,-86.2518768989997
South Bend Fire Dept. Station #11,FIRE STATION,"3505 N. Bendix Dr.
South Bend, Indiana 46628
(41.72318967400048, -86.29200404599965)",South Bend,46628,Indiana,574-235-9385,42,41.7231896740005,-86.2920040459997
Mishawaka Public Library Bittersweet Branch,LIBRARY,"602 Bittersweet Rd.
Mishawaka, Indiana 46544
(41.670030383000494, -86.10949109799964)",Mishawaka,46544,Indiana,574-259-0392,43,41.6700303830005,-86.1094910979996
German Twp. Sta. 1,FIRE STATION,"51775 Portage Road
South Bend, Indiana 46628
(41.74029080100047, -86.29557087399968)",South Bend,46628,Indiana,574-272-9828,44,41.7402908010005,-86.2955708739997
St. Joseph Co. Public Library German Township Branch,LIBRARY,"52807 Lynnewood Av
South Bend, Indiana 46628
(41.72393320100048, -86.28282263899968)",South Bend,46628,Indiana,574-271-5144,45,41.7239332010005,-86.2828226389997
Penn South Sta. 1,FIRE STATION,"14940 Jackson Road
Mishawaka, Indiana 46544
(41.622370832000456, -86.15641088399968)",Mishawaka,46544,Indiana,574-255-4433,46,41.6223708320005,-86.1564108839997
South Bend Fire Dept. Station #3,FIRE STATION,"1805 McKinley Ave.
South Bend, Indiana 46617
(41.680220706000455, -86.22075713699968)",South Bend,46617,Indiana,574-235-9175,47,41.6802207060005,-86.2207571369997
Mishawaka Fire Dept. Station #1,FIRE STATION,"600 Union St.
Mishawaka, Indiana 46544
(41.65585337700048, -86.17692383499968)",Mishawaka,46544,Indiana,574-258-1674,48,41.6558533770005,-86.1769238349997
Mishawaka Fire Dept. Station #2,FIRE STATION,"2332 N. Main St.
Mishawaka, Indiana 46544
(41.681103660000474, -86.18137563599964)",Mishawaka,46544,Indiana,574-258-1697,49,41.6811036600005,-86.1813756359996
Harris Twp. Sta. 1,FIRE STATION,"13981 SR 23
Granger, Indiana 46350
(41.743374161000474, -86.13930218899964)",Granger,46350,Indiana,574-272-4499,50,41.7433741610005,-86.1393021889996
South Bend Fire Dept.,FIRE STATION,"1222 S. Michigan St.
South Bend, Indiana 46601
(41.66145320300046, -86.24997207899969)",South Bend,46601,Indiana,574-235-9491,51,41.6614532030005,-86.2499720789997
